word,alternative
💖, 💖 
💚, 💚 
😭, 😭 
🙏, 🙏 
😄, 😄 
😂, 😂 
/, / 
//, // 
!, ! 
!, ! 
?, ? 
؟, ؟ 
📌, 
🔸, 
(, ( 
), ) 
', ' 
:, : 
», » 
«, « 
","," , "
،, ، 
., . 
+, + 
-, - 
=, = 
[, [ 
], ] 
۰, ۰ 
💄, 💄 
💍, 💍 
اصلاح طلب,اصلاح‌طلب
اصلاح طلبان,اصلاح‌طلبان
